sim_num,mse_mean_healthy,mse_mean_diseased,mse_std_healthy,mse_std_diseased,n_samples,simulation_time,ka0,kv0,ka1,kv1,n_features_selected_0,n_features_selected_1,cache_hit_rate_0,cache_hit_rate_1
1,0.07973952,0.19744891,0.004818852,0.05170216,5000,0.5448517799377441,75,75,5,100,1,1,0,0
2,0.02629748,0.5303969,0.003979339,0.20474698,5000,0.5546128749847412,75,100,10,75,1,1,0,0
3,0.063322574,0.41256317,0.007931281,0.090430126,5000,0.5082058906555176,100,50,10,100,1,1,0,0
4,0.0047085634,0.7122833,0.006128616,0.32999644,5000,0.45871591567993164,100,50,10,50,1,1,0,0
5,0.018630221,0.43453437,0.009963499,0.20346309,5000,0.4869849681854248,75,100,10,30,1,1,0,0
6,0.006217684,0.24920765,0.0044266144,0.07037024,5000,0.5993051528930664,100,100,10,75,1,1,0,0
7,0.056581493,0.6549753,0.0123504205,0.33557075,5000,0.9086260795593262,100,75,10,100,1,1,0,0
8,0.013997738,0.35049093,0.0031782174,0.15234861,5000,0.7427210807800293,75,100,10,30,1,1,0,0
9,0.016317539,0.94020116,0.001330676,0.41976786,5000,0.7313220500946045,100,100,10,15,1,1,0,0
10,0.021756291,0.88654315,0.00665737,0.370022,5000,0.723994255065918,50,100,10,30,1,1,0,0
11,0.010590967,0.8408541,0.0129694,0.18364693,5000,0.6414861679077148,100,100,10,100,1,1,0,0
12,0.015503517,0.30049014,0.0048744143,0.091141745,5000,0.6989140510559082,100,100,5,50,1,1,0,0
13,0.016368086,0.94677126,0.0055936854,0.1206418,5000,0.6886529922485352,75,100,10,75,1,1,0,0
14,0.0096111465,0.21141118,0.009420584,0.07505336,5000,0.7977039813995361,75,100,5,100,1,1,0,0
15,0.03229008,0.20681006,0.015718676,0.022754677,5000,0.7657039165496826,30,50,5,75,1,1,0,0
16,0.011155453,0.7424742,0.010334882,0.31287357,5000,0.6777253150939941,75,100,10,100,1,1,0,0
17,0.048110884,0.23826419,0.0013517566,0.099707566,5000,0.7645058631896973,30,100,10,75,1,1,0,0
18,0.02384906,0.49961734,0.0075286734,0.19368336,5000,0.815629243850708,50,100,10,50,1,1,0,0
19,0.01441463,0.37994102,0.0054384232,0.121488184,5000,0.837914228439331,75,100,10,100,1,1,0,0
20,0.0073556216,0.24051836,0.006800876,0.082073085,5000,0.8547787666320801,100,100,5,75,1,1,0,0
