DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
lar4-fs-[0:3]-[5:9],0,0.5,"[9.99996675e-08 4.13310869e-03 4.72745235e-04 8.91123907e-01
 7.48002158e-01 9.94319689e-01 9.70329461e-01 8.76799450e-01
 9.14472402e-01 7.19594109e-01]",0.5,"[0.01361193 0.02025969 0.21249626 0.07295738 0.27576608 0.00998671
 0.00931921 0.15572196 0.31229789 0.00302565]",5000,10,50,500,2.3785137244331254,18.106095923383347
lar4-fs-[0:3]-[5:9],1,0.75,"[9.35088458e-04 2.89492774e-08 9.84677797e-08 1.73737760e-01
 5.87086784e-01 6.44643517e-01 4.71404916e-01 2.10494124e-01
 7.07757803e-01 3.76285634e-01]",0.5,"[0.44522595 0.93190256 0.39012965 0.98880092 0.18561257 0.04246655
 0.62482207 0.28030334 0.64236662 0.91163985]",5000,10,50,500,0.363032744466511,6.3459366074376495
lar4-fs-[0:3]-[5:9],2,0.75,"[7.66345505e-11 3.96251726e-09 5.81862154e-06 8.55271355e-01
 9.84890385e-01 9.08141804e-01 9.85725665e-01 9.57689070e-01
 9.35834929e-01 6.61816696e-01]",0.5,"[0.58347697 0.57597582 0.65265918 0.62738954 0.92332802 0.70124229
 0.38605564 0.44013975 0.37683655 0.03438435]",5000,10,100,50,0.2855800369400966,6.741887539011943
lar4-fs-[0:3]-[5:9],3,0.75,"[4.83307917e-08 6.51244956e-04 1.04355631e-06 6.72732011e-01
 2.28083739e-01 7.41279970e-01 5.90073636e-01 4.26129569e-01
 9.34193191e-01 4.16630302e-01]",0.0,"[1.16901981e-01 1.58773021e-01 1.17265127e-02 3.90941293e-05
 1.29163920e-02 1.00802720e-02 3.19560736e-01 6.78140076e-02
 3.46084909e-02 5.62238090e-01]",5000,10,100,500,0.2205960660008186,8.55199148829268
lar4-fs-[0:3]-[5:9],4,0.75,"[2.28297829e-06 2.04354176e-04 2.15141157e-05 9.99536914e-01
 9.73857348e-01 9.62000741e-01 9.61795101e-01 9.75121892e-01
 9.81939597e-01 9.80014521e-01]",0.5,"[0.99105303 0.98105042 0.59152671 0.98134445 0.05877796 0.6495529
 0.97031848 0.12212191 0.03645966 0.10153539]",5000,10,100,1000,0.4234252703013042,10.130315758337202
lar4-fs-[0:3]-[5:9],5,0.75,"[3.77069672e-07 1.25515087e-05 9.90574507e-05 3.70468796e-01
 6.36027762e-01 4.07771514e-01 2.35597290e-01 9.26440922e-01
 4.61328354e-01 4.14482526e-01]",0.5,"[0.17270864 0.98630154 0.19974735 0.32193142 0.27204169 0.0723137
 0.19177694 0.45318767 0.37153353 0.30802619]",5000,10,50,500,0.3189519477539636,8.255242896992263
lar4-fs-[0:3]-[5:9],6,0.75,"[1.01496790e-06 1.05620700e-04 4.79618015e-04 3.57679719e-01
 1.61247895e-01 4.15816061e-01 3.78962776e-01 7.78737005e-01
 9.73575056e-01 3.54767252e-01]",0.5,"[0.66952284 0.08964772 0.57015302 0.96698729 0.33810745 0.14474106
 0.09539395 0.13214628 0.4668108  0.17041675]",5000,10,100,500,0.4340695850062604,7.6946853964175475
lar4-fs-[0:3]-[5:9],7,0.75,"[2.01854886e-04 7.69472976e-05 3.58461344e-07 4.46639834e-01
 8.84632830e-01 1.75686524e-01 7.89989777e-01 4.08710606e-01
 4.54535387e-02 2.10645423e-01]",0.2,"[7.76570217e-01 2.14999188e-02 2.60357449e-01 9.32133767e-01
 4.05319755e-01 1.11006998e-04 8.01460857e-02 5.36285393e-01
 1.95340189e-01 5.30180997e-01]",5000,10,50,500,0.262938082977945,8.1318431883496
lar4-fs-[0:3]-[5:9],8,0.75,"[2.20133339e-06 9.75525535e-06 1.00513330e-05 6.96393420e-01
 5.84369825e-01 9.65523483e-01 6.07542792e-01 8.34022845e-01
 1.54138292e-01 4.25844163e-01]",0.5,"[0.76254857 0.92382781 0.36940533 0.99566569 0.97835618 0.414376
 0.04973147 0.1170186  0.02566433 0.79333806]",5000,10,100,200,0.2297580696681817,4.483810521743955
lar4-fs-[0:3]-[5:9],9,0.75,"[5.94741517e-05 2.44750071e-07 2.15806289e-04 4.82105510e-01
 2.52213330e-01 3.05636535e-01 6.94536395e-01 1.03139471e-01
 2.75676500e-01 5.07932544e-01]",0.5,"[0.37997582 0.57704817 0.56512874 0.00664417 0.93544905 0.05941818
 0.98347845 0.00255977 0.67878331 0.99672   ]",5000,10,50,500,0.37213173294240526,7.649556121789354
