DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
"sim1-no-fs-[1,2]-[]",0,0.6666666666666666,,0.0,,5000,3,20,500,0.08434025024288296,0.009274786132268826
"sim1-no-fs-[1,2]-[]",1,0.6666666666666666,,0.0,,5000,3,20,50,0.10006205241030061,0.08387451373693948
"sim1-no-fs-[1,2]-[]",2,0.6666666666666666,,0.0,,5000,3,20,200,0.07876115480139995,0.011007239738348034
"sim1-no-fs-[1,2]-[]",3,0.6666666666666666,,0.0,,5000,3,20,200,0.09106751350585894,0.00890680392034322
"sim1-no-fs-[1,2]-[]",4,0.6666666666666666,,0.0,,5000,3,20,500,0.08770789990055078,0.015789669432930458
"sim1-no-fs-[1,2]-[]",5,0.6666666666666666,,0.0,,5000,3,20,100,0.09369043463315811,0.023073524365829056
"sim1-no-fs-[1,2]-[]",6,0.6666666666666666,,0.0,,5000,3,20,500,0.09629573774218332,0.03286348822179801
"sim1-no-fs-[1,2]-[]",7,0.6666666666666666,,0.0,,5000,3,20,500,0.10529955825482414,0.009433247733809842
"sim1-no-fs-[1,2]-[]",8,0.6666666666666666,,0.0,,5000,3,20,500,0.08972408407834116,0.008919897550524974
"sim1-no-fs-[1,2]-[]",9,0.6666666666666666,,0.0,,5000,3,20,200,0.10717672324505292,0.032820158110532203
"sim1-no-fs-[1,2]-[]",10,0.6666666666666666,,0.0,,5000,3,10,500,0.1373152014242248,0.03106974677250271
"sim1-no-fs-[1,2]-[]",11,0.6666666666666666,,0.0,,5000,3,20,200,0.06906063460831628,0.01405683193478372
"sim1-no-fs-[1,2]-[]",12,0.6666666666666666,,0.0,,5000,3,20,500,0.08153690205583844,0.003135907215147666
"sim1-no-fs-[1,2]-[]",13,0.6666666666666666,,0.0,,5000,3,50,500,0.12972343813214884,0.014149289977520442
"sim1-no-fs-[1,2]-[]",14,0.6666666666666666,,0.0,,5000,3,20,500,0.08082089257618323,0.009199165065664466
"sim1-no-fs-[1,2]-[]",15,0.6666666666666666,,0.0,,5000,3,20,200,0.08057881420913136,0.010517721757555424
"sim1-no-fs-[1,2]-[]",16,0.6666666666666666,,0.0,,5000,3,50,200,0.09706829275474783,0.012692580721633451
"sim1-no-fs-[1,2]-[]",17,0.6666666666666666,,0.0,,5000,3,20,500,0.08271313909696708,0.03375618414734323
"sim1-no-fs-[1,2]-[]",18,0.6666666666666666,,0.0,,5000,3,50,500,0.09872746530635479,0.03171452010805398
"sim1-no-fs-[1,2]-[]",19,0.6666666666666666,,0.0,,5000,3,20,500,0.09097953501112871,0.004079517476537279
"sim1-no-fs-[1,2]-[]",20,0.6666666666666666,,0.0,,5000,3,50,100,0.09790014606383081,0.03931072553109783
"sim1-no-fs-[1,2]-[]",21,0.6666666666666666,,0.0,,5000,3,20,500,0.08923175122034088,0.0029983413932903316
"sim1-no-fs-[1,2]-[]",22,0.6666666666666666,,0.0,,5000,3,20,200,0.10008284900268997,0.05363497204524564
"sim1-no-fs-[1,2]-[]",23,0.6666666666666666,,0.0,,5000,3,20,100,0.09383626214516082,0.026789150523183487
"sim1-no-fs-[1,2]-[]",24,0.6666666666666666,,0.0,,5000,3,20,100,0.08946796703343282,0.046148336411369326
"sim1-no-fs-[1,2]-[]",25,0.6666666666666666,,0.0,,5000,3,20,200,0.08269002744172535,0.06067233014727708
"sim1-no-fs-[1,2]-[]",26,0.6666666666666666,,0.0,,5000,3,20,500,0.08905385192017325,0.011691170833314847
"sim1-no-fs-[1,2]-[]",27,0.6666666666666666,,0.0,,5000,3,20,200,0.0903615797520538,0.0334537330436444
"sim1-no-fs-[1,2]-[]",28,0.6666666666666666,,0.0,,5000,3,20,500,0.08782820309983903,0.004589534284110292
"sim1-no-fs-[1,2]-[]",29,0.6666666666666666,,0.0,,5000,3,20,500,0.09908880287904,0.014548497788598866
"sim1-no-fs-[1,2]-[]",30,0.6666666666666666,,0.0,,5000,3,20,500,0.09809933558176699,0.0012731105193326514
"sim1-no-fs-[1,2]-[]",31,0.6666666666666666,,0.0,,5000,3,20,500,0.11078871196185565,0.0030006324905827307
"sim1-no-fs-[1,2]-[]",32,0.6666666666666666,,0.0,,5000,3,20,500,0.0980066978679864,0.017042545191015997
"sim1-no-fs-[1,2]-[]",33,0.6666666666666666,,0.0,,5000,3,20,500,0.09267089102187553,0.0007449098117736717
"sim1-no-fs-[1,2]-[]",34,0.6666666666666666,,0.0,,5000,3,20,500,0.08680775780359118,0.016025608000094786
"sim1-no-fs-[1,2]-[]",35,0.6666666666666666,,0.0,,5000,3,20,100,0.10268807347058137,0.03338269361273446
"sim1-no-fs-[1,2]-[]",36,0.6666666666666666,,0.0,,5000,3,20,500,0.08462212994523291,0.0023617909465510544
"sim1-no-fs-[1,2]-[]",37,0.6666666666666666,,0.0,,5000,3,20,200,0.1045834441100812,0.012751856667199399
"sim1-no-fs-[1,2]-[]",38,0.6666666666666666,,0.0,,5000,3,20,200,0.0895309838895527,0.006937041916053323
"sim1-no-fs-[1,2]-[]",39,0.6666666666666666,,0.0,,5000,3,50,500,0.14535987354843577,0.009782442311600692
"sim1-no-fs-[1,2]-[]",40,0.6666666666666666,,0.0,,5000,3,50,500,0.10945394063127878,0.0016652737780461883
"sim1-no-fs-[1,2]-[]",41,0.6666666666666666,,0.0,,5000,3,20,200,0.0896808642172127,0.009353973129035265
"sim1-no-fs-[1,2]-[]",42,0.6666666666666666,,0.0,,5000,3,20,100,0.09444627768901169,0.04343254962771541
"sim1-no-fs-[1,2]-[]",43,0.6666666666666666,,0.0,,5000,3,20,200,0.1051510570956804,0.007523405869743016
"sim1-no-fs-[1,2]-[]",44,0.6666666666666666,,0.0,,5000,3,20,500,0.0987210462254938,0.008960708906500858
"sim1-no-fs-[1,2]-[]",45,0.6666666666666666,,0.0,,5000,3,20,100,0.08200250394310547,0.01467736909483511
"sim1-no-fs-[1,2]-[]",46,0.6666666666666666,,0.0,,5000,3,20,1000,0.07795533296515866,0.4237527879937178
