DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
med2-fs-[]-[0:3],0,0.0,[0.59959244 0.65537402 0.98311815 0.41460148 0.82525767],0.8,[0.44766484 0.0766279  0.42474142 0.89131187 0.3213634 ],5000,5,2000,500,0.0059340411654424255,4.926902771350945
med2-fs-[]-[0:3],1,0.0,[0.35482112 0.54421265 0.72408946 0.16478194 0.73491106],0.8,[0.11469297 0.14365486 0.41163864 0.88293282 0.90930467],5000,5,1000,500,0.004702165760025322,5.9646566418822795
med2-fs-[]-[0:3],2,0.0,[0.45876974 0.10198832 0.02336137 0.08017426 0.03414623],0.8,[0.04699721 0.1891561  0.30001714 0.91045563 0.27599313],5000,5,500,500,0.021865138723375702,4.687717704715285
med2-fs-[]-[0:3],3,0.0,[0.83080752 0.36873275 0.02160288 0.46501239 0.62640138],0.8,[0.08450482 0.03361533 0.27366402 0.03368484 0.19551562],5000,5,1000,500,0.009018840159553726,6.179838392123293
med2-fs-[]-[0:3],4,0.0,[0.00339174 0.62404557 0.14623728 0.11218825 0.2688793 ],0.8,[0.63182644 0.01916842 0.00530184 0.00394801 0.42145634],5000,5,1000,500,0.031009585141405945,5.049324036258503
med2-fs-[]-[0:3],5,0.0,[0.07286883 0.00339721 0.55210142 0.60328236 0.08318818],0.8,[0.25780681 0.01317123 0.0747563  0.91736481 0.95644001],5000,5,1000,500,0.0011649012095497463,4.335390709201084
med2-fs-[]-[0:3],6,0.0,[0.87077627 0.10563801 0.02129359 0.29652021 0.08734756],0.8,[0.50428825 0.03086195 0.22194408 0.97134657 0.26224509],5000,5,2000,200,0.004820132016279666,2.450179415038598
med2-fs-[]-[0:3],7,0.0,[0.51474987 0.67505989 0.19986948 0.58933983 0.07776414],0.8,[0.14102609 0.20375178 0.05135047 0.56485977 0.42671188],5000,5,1000,1000,0.00868209768190575,16.31644670452278
med2-fs-[]-[0:3],8,0.0,[0.97958191 0.9805331  0.30338365 0.56919995 0.3897533 ],0.8,[0.8066719  0.31189148 0.10270012 0.25591697 0.96571265],5000,5,1000,200,0.0008276729342264634,3.1662215990181286
med2-fs-[]-[0:3],9,0.0,[0.18281822 0.17760128 0.54463281 0.00058112 0.32837365],0.8,[0.1448332  0.2979223  0.14014229 0.39061642 0.97053319],5000,5,100,1000,0.10982951409532521,8.946810111826787
med2-fs-[]-[0:3],10,0.0,[0.89294854 0.76524936 0.99953641 0.82242724 0.74431426],0.8,[0.0100619  0.26413899 0.49898301 0.05415074 0.99258096],5000,5,2000,500,0.0027224154529817022,5.268002357295919
med2-fs-[]-[0:3],11,0.0,[0.55691504 0.20663888 0.84767879 0.64474177 0.99348117],0.8,[0.36838586 0.41189494 0.31293785 0.14838834 0.55234647],5000,5,1000,500,0.025546475646201994,5.183100041618148
med2-fs-[]-[0:3],12,0.0,[0.30632676 0.05405466 0.1798399  0.00376421 0.37638634],0.8,[0.08517383 0.01898193 0.28252827 0.32356029 0.06152529],5000,5,200,50,0.05006887496187876,2.303708607263417
med2-fs-[]-[0:3],13,0.0,[0.77598359 0.88196658 0.81846544 0.55885999 0.87983744],0.8,[0.40930106 0.02262699 0.01406907 0.92743923 0.45374314],5000,5,1000,200,0.0015347070625794136,1.314480935262548
med2-fs-[]-[0:3],14,0.0,[0.94581751 0.57668312 0.44112685 0.16380261 0.91947413],0.8,[0.27006439 0.65854392 0.1000234  0.73348621 0.73230241],5000,5,1000,500,0.004819577965387833,4.748889565520143
med2-fs-[]-[0:3],15,0.0,[0.63679488 0.87846914 0.05093237 0.44931497 0.12473123],0.25,[0.00168572 0.79703206 0.43940879 0.92498303 0.73959508],5000,5,1000,100,0.03656141487946302,5.9284266631953555
med2-fs-[]-[0:3],16,0.0,[0.93657358 0.96973079 0.45158696 0.81058777 0.96047889],0.8,[0.11847514 0.27106916 0.08941678 0.75490997 0.43983202],5000,5,1000,100,0.03466511167951031,3.096923042564184
med2-fs-[]-[0:3],17,0.0,[0.91626072 0.60344185 0.89334979 0.83638083 0.78432095],0.8,[0.00887378 0.65723389 0.01152133 0.72908096 0.36660252],5000,5,1000,500,0.0026498694079156926,5.218028504621299
med2-fs-[]-[0:3],18,0.0,[0.00560554 0.03571012 0.13832901 0.35947668 0.56840197],0.8,[0.30493864 0.2551556  0.25072515 0.71701401 0.12902045],5000,5,1000,500,0.004466345940558451,5.218082391222477
med2-fs-[]-[0:3],19,0.0,[0.32424539 0.00086421 0.16295604 0.59620059 0.10528158],0.8,[0.24699643 0.05129864 0.77961756 0.18375574 0.63145241],5000,5,100,500,0.1404400130450097,4.255579660682252
med2-fs-[]-[0:3],20,0.0,[0.33057739 0.20978839 0.76801032 0.46645686 0.64782486],0.8,[0.16596211 0.02306705 0.08876248 0.90334419 0.80039522],5000,5,500,100,0.010994854690008424,1.2560609121352608
med2-fs-[]-[0:3],21,0.0,[0.56375297 0.40386424 0.75560435 0.45702151 0.01997218],0.8,[0.01090617 0.00682999 0.26750318 0.40258639 0.81700375],5000,5,1000,100,0.003812055243445364,2.158493167914839
med2-fs-[]-[0:3],22,0.0,[0.4617959  0.6805542  0.29346307 0.02540111 0.03642469],0.8,[0.18208468 0.07376208 0.81132974 0.9017645  0.9362497 ],5000,5,1000,200,0.0027160870311719594,2.6678385970405207
med2-fs-[]-[0:3],23,0.0,[0.29904402 0.13742982 0.97174509 0.03117028 0.6858078 ],0.8,[0.37616368 0.13493273 0.0294854  0.5056764  0.45910634],5000,5,1000,200,0.0008715908911161837,2.261641841636488
