DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
med2-no-fs-[]-[0:3],0,0.0,,0.8,,5000,5,2000,500,0.0059340411654424255,4.926902771350945
med2-no-fs-[]-[0:3],1,0.0,,0.8,,5000,5,1000,500,0.004702165760025322,5.9646566418822795
med2-no-fs-[]-[0:3],2,0.0,,0.8,,5000,5,500,500,0.021865138723375702,4.687717704715285
med2-no-fs-[]-[0:3],3,0.0,,0.8,,5000,5,1000,500,0.009018840159553726,6.179838392123293
med2-no-fs-[]-[0:3],4,0.0,,0.8,,5000,5,1000,500,0.031009585141405945,5.049324036258503
med2-no-fs-[]-[0:3],5,0.0,,0.8,,5000,5,1000,500,0.0011649012095497463,4.335390709201084
med2-no-fs-[]-[0:3],6,0.0,,0.8,,5000,5,2000,200,0.004820132016279666,2.450179415038598
med2-no-fs-[]-[0:3],7,0.0,,0.8,,5000,5,1000,1000,0.00868209768190575,16.31644670452278
med2-no-fs-[]-[0:3],8,0.0,,0.8,,5000,5,1000,200,0.0008276729342264634,3.1662215990181286
med2-no-fs-[]-[0:3],9,0.0,,0.8,,5000,5,500,500,0.010439224347789532,4.659843498739086
med2-no-fs-[]-[0:3],10,0.0,,0.8,,5000,5,2000,500,0.0027224154529817022,5.268002357295919
med2-no-fs-[]-[0:3],11,0.0,,0.8,,5000,5,1000,500,0.025546475646201994,5.183100041618148
med2-no-fs-[]-[0:3],12,0.0,,0.8,,5000,5,200,50,0.05006887496187876,2.303708607263417
med2-no-fs-[]-[0:3],13,0.0,,0.8,,5000,5,1000,200,0.0015347070625794136,1.314480935262548
med2-no-fs-[]-[0:3],14,0.0,,0.8,,5000,5,1000,500,0.004819577965387833,4.748889565520143
med2-no-fs-[]-[0:3],15,0.0,,0.8,,5000,5,1000,500,0.03656141487946302,4.937822789301406
med2-no-fs-[]-[0:3],16,0.0,,0.8,,5000,5,1000,100,0.03466511167951031,3.096923042564184
med2-no-fs-[]-[0:3],17,0.0,,0.8,,5000,5,1000,500,0.0026498694079156926,5.218028504621299
med2-no-fs-[]-[0:3],18,0.0,,0.8,,5000,5,1000,500,0.004466345940558451,5.218082391222477
med2-no-fs-[]-[0:3],19,0.0,,0.8,,5000,5,1000,500,0.015745540747645104,4.260976451779635
med2-no-fs-[]-[0:3],20,0.0,,0.8,,5000,5,500,100,0.010994854690008424,1.2560609121352608
med2-no-fs-[]-[0:3],21,0.0,,0.8,,5000,5,1000,100,0.003812055243445364,2.158493167914839
med2-no-fs-[]-[0:3],22,0.0,,0.8,,5000,5,1000,200,0.0027160870311719594,2.6678385970405207
med2-no-fs-[]-[0:3],23,0.0,,0.8,,5000,5,1000,200,0.0008715908911161837,2.261641841636488
med2-no-fs-[]-[0:3],24,0.0,,0.8,,5000,5,200,1000,0.05574052855727591,40.76299988829566
med2-no-fs-[]-[0:3],25,0.0,,0.8,,5000,5,2000,500,0.008886559663992284,4.537239992953199
med2-no-fs-[]-[0:3],26,0.0,,0.8,,5000,5,200,100,0.038253702928862716,2.5823678124518885
med2-no-fs-[]-[0:3],27,0.0,,0.8,,5000,5,200,100,0.028881894888767766,3.35810454527931
med2-no-fs-[]-[0:3],28,0.0,,0.8,,5000,5,2000,500,0.006057470834920758,4.475010728633101
med2-no-fs-[]-[0:3],29,0.0,,0.8,,5000,5,1000,200,0.003936746799689413,3.4509060690527824
med2-no-fs-[]-[0:3],30,0.0,,0.8,,5000,5,1000,200,0.00344650296096791,2.217410466882029
med2-no-fs-[]-[0:3],31,0.0,,0.8,,5000,5,1000,50,0.0021069323723230814,2.404349531743048
med2-no-fs-[]-[0:3],32,0.0,,0.8,,5000,5,200,500,0.04535310520192055,5.189331329017579
med2-no-fs-[]-[0:3],33,0.0,,0.8,,5000,5,2000,500,0.005140226440409774,5.170780229345486
med2-no-fs-[]-[0:3],34,0.0,,0.8,,5000,5,1000,500,0.0038292936640569367,5.521537853544867
med2-no-fs-[]-[0:3],35,0.0,,0.8,,5000,5,1000,500,0.00133756490385818,4.81554348075666
med2-no-fs-[]-[0:3],36,0.0,,0.8,,5000,5,500,100,0.026111873375373722,2.7606479152633865
med2-no-fs-[]-[0:3],37,0.0,,0.8,,5000,5,100,100,0.10147494778277129,2.1230830431937857
med2-no-fs-[]-[0:3],38,0.0,,0.8,,5000,5,1000,200,0.0012902845827645062,3.0714457943133695
med2-no-fs-[]-[0:3],39,0.0,,0.8,,5000,5,1000,500,0.0026616814068792048,5.011015334094403
med2-no-fs-[]-[0:3],40,0.0,,0.8,,5000,5,500,500,0.008299178547893643,4.892174027964243
med2-no-fs-[]-[0:3],41,0.0,,0.8,,5000,5,1000,50,0.003293482558383373,2.1570308757937715
med2-no-fs-[]-[0:3],42,0.0,,0.8,,5000,5,1000,500,0.006713593420943701,4.786555634614976
med2-no-fs-[]-[0:3],43,0.0,,0.8,,5000,5,1000,50,0.0052097612417396,3.118147243227888
med2-no-fs-[]-[0:3],44,0.0,,0.8,,5000,5,1000,50,0.004671548805010541,2.7372911691387367
med2-no-fs-[]-[0:3],45,0.0,,0.8,,5000,5,1000,500,0.0012074078657804777,5.029115486005283
med2-no-fs-[]-[0:3],46,0.0,,0.8,,5000,5,1000,500,0.0020977007901506837,4.743053449059282
