,DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
0,med4-no-fs-[0:3]-[1:4],0,0.4,,0.0,,5000,5,50,100,0.5330555632513923,3.412264807424946
1,med4-no-fs-[0:3]-[1:4],1,0.4,,0.0,,5000,5,20,500,0.5488516810532847,5.2429236006115385
2,med4-no-fs-[0:3]-[1:4],2,0.4,,0.0,,5000,5,20,500,0.7367395649018325,5.472365642094768
3,med4-no-fs-[0:3]-[1:4],3,0.4,,0.0,,5000,5,50,500,0.5166261236228133,7.170033050194869
4,med4-no-fs-[0:3]-[1:4],4,0.4,,0.0,,5000,5,50,500,0.6393683193670753,7.033452790964252
5,med4-no-fs-[0:3]-[1:4],5,0.4,,0.0,,5000,5,50,500,0.5377053076212127,5.102419965301412
6,med4-no-fs-[0:3]-[1:4],6,0.4,,0.0,,5000,5,50,200,0.5439656775991324,2.5441320815249973
7,med4-no-fs-[0:3]-[1:4],7,0.4,,0.0,,5000,5,50,500,0.5273580625839906,4.362477113911551
8,med4-no-fs-[0:3]-[1:4],8,0.4,,0.0,,5000,5,20,200,0.7790100618489626,3.533174659253145
9,med4-no-fs-[0:3]-[1:4],9,0.4,,0.0,,5000,5,50,1000,0.6189621543292804,11.848294592420489
10,med4-no-fs-[0:3]-[1:4],10,0.4,,0.0,,5000,5,50,500,0.6363930228686738,4.951378432726638
11,med4-no-fs-[0:3]-[1:4],11,0.4,,0.0,,5000,5,50,500,0.4572356288031525,4.988199506045174
12,med4-no-fs-[0:3]-[1:4],12,0.4,,0.0,,5000,5,20,500,0.6616403048072717,5.275922375005083
13,med4-no-fs-[0:3]-[1:4],13,0.4,,0.0,,5000,5,50,200,0.6968899639363056,2.379665897571508
14,med4-no-fs-[0:3]-[1:4],14,0.4,,0.0,,5000,5,50,500,0.6280293905292885,5.013269885054262
15,med4-no-fs-[0:3]-[1:4],15,0.4,,0.0,,5000,5,50,100,0.6220425695329748,1.7874596538881105
16,med4-no-fs-[0:3]-[1:4],16,0.4,,0.0,,5000,5,10,500,1.0882247838065386,4.771466422875732
17,med4-no-fs-[0:3]-[1:4],17,0.4,,0.0,,5000,5,50,500,0.6961248676916472,5.31686202470118
18,med4-no-fs-[0:3]-[1:4],18,0.4,,0.0,,5000,5,50,1000,0.5060118406505025,7.072039417930986
19,med4-no-fs-[0:3]-[1:4],19,0.4,,0.0,,5000,5,20,500,0.679856615126804,4.538585597642292
20,med4-no-fs-[0:3]-[1:4],20,0.4,,0.0,,5000,5,50,500,0.563006571707375,4.427075912646715
21,med4-no-fs-[0:3]-[1:4],21,0.4,,0.0,,5000,5,50,500,0.6754883179690838,5.09371101937522
22,med4-no-fs-[0:3]-[1:4],22,0.4,,0.0,,5000,5,50,200,0.567141472218465,4.005666592847493
23,med4-no-fs-[0:3]-[1:4],23,0.4,,0.0,,5000,5,20,100,0.6086157582956164,2.133844781688507
24,med4-no-fs-[0:3]-[1:4],24,0.4,,0.0,,5000,5,20,200,0.7772524314645021,1.9560725852636192
25,med4-no-fs-[0:3]-[1:4],25,0.4,,0.0,,5000,5,50,500,0.621186679798908,4.708897296008924
26,med4-no-fs-[0:3]-[1:4],26,0.4,,0.0,,5000,5,20,100,0.7189788186680266,3.394266324687911
27,med4-no-fs-[0:3]-[1:4],27,0.4,,0.0,,5000,5,20,100,0.6265342569359195,3.807405355060821
28,med4-no-fs-[0:3]-[1:4],28,0.4,,0.0,,5000,5,50,500,0.5082065568235918,4.3692858175044025
29,med4-no-fs-[0:3]-[1:4],29,0.4,,0.0,,5000,5,50,200,0.5198583262183207,2.274063788299685
30,med4-no-fs-[0:3]-[1:4],30,0.4,,0.0,,5000,5,50,500,0.6715796712268935,5.453976892673674
31,med4-no-fs-[0:3]-[1:4],31,0.4,,0.0,,5000,5,20,50,0.636641786700316,2.4232030363370622
32,med4-no-fs-[0:3]-[1:4],32,0.4,,0.0,,5000,5,50,500,0.5458361458995384,5.034150896073268
33,med4-no-fs-[0:3]-[1:4],33,0.4,,0.0,,5000,5,20,50,0.6644754764896256,3.5971125219596884
34,med4-no-fs-[0:3]-[1:4],34,0.4,,0.0,,5000,5,20,200,0.6998489962099448,3.381249260054274
35,med4-no-fs-[0:3]-[1:4],35,0.4,,0.0,,5000,5,20,500,0.5993635363256135,5.619698394241586
36,med4-no-fs-[0:3]-[1:4],36,0.4,,0.0,,5000,5,20,100,0.6748423372127272,2.993905975808338
37,med4-no-fs-[0:3]-[1:4],37,0.4,,0.0,,5000,5,50,100,0.4953050302481312,2.033958429004982
38,med4-no-fs-[0:3]-[1:4],38,0.4,,0.0,,5000,5,20,200,0.6894763632650596,2.3417762042850554
39,med4-no-fs-[0:3]-[1:4],39,0.4,,0.0,,5000,5,50,50,0.4815442054410146,4.165885359118715
40,med4-no-fs-[0:3]-[1:4],40,0.4,,0.0,,5000,5,20,500,0.5314230983186948,6.014468085843903
41,med4-no-fs-[0:3]-[1:4],41,0.4,,0.0,,5000,5,50,200,0.5628258463444714,2.935017657098854
42,med4-no-fs-[0:3]-[1:4],42,0.4,,0.0,,5000,5,50,500,0.6787323698286544,4.665613783348028
43,med4-no-fs-[0:3]-[1:4],43,0.4,,0.0,,5000,5,50,50,0.5172321268025418,4.445940485262525
44,med4-no-fs-[0:3]-[1:4],44,0.4,,0.0,,5000,5,20,100,0.6753957159780685,1.870376350029888
45,med4-no-fs-[0:3]-[1:4],45,0.4,,0.0,,5000,5,20,2000,0.5595328175083666,24.792662667733303
46,med4-no-fs-[0:3]-[1:4],46,0.4,,0.0,,5000,5,20,500,0.6831652987971147,5.217908628937973
47,med4-no-fs-[0:3]-[1:4],47,0.4,,0.0,,5000,5,50,100,0.6382383563173222,2.691023827747681
