DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
sim2-no-fs-[]-[0],0,0.0,,0.3333333333333333,,5000,3,1000,200,0.0025518646461715126,0.5721282937450285
sim2-no-fs-[]-[0],1,0.0,,0.3333333333333333,,5000,3,1000,500,0.00659719675183434,1.4450375579612529
sim2-no-fs-[]-[0],2,0.0,,0.3333333333333333,,5000,3,1000,100,0.00028584697315581843,0.38473863468451097
sim2-no-fs-[]-[0],3,0.0,,0.3333333333333333,,5000,3,1000,200,0.0024770414763601923,0.5123524226264453
sim2-no-fs-[]-[0],4,0.0,,0.3333333333333333,,5000,3,1000,500,0.007212400894957955,1.4944817360946199
sim2-no-fs-[]-[0],5,0.0,,0.3333333333333333,,5000,3,500,50,0.010553858724880414,0.32610203982403246
sim2-no-fs-[]-[0],6,0.0,,0.3333333333333333,,5000,3,500,500,0.004082194921013692,1.4645319201483917
sim2-no-fs-[]-[0],7,0.0,,0.3333333333333333,,5000,3,1000,500,0.001253768108796173,1.3226112629836335
sim2-no-fs-[]-[0],8,0.0,,0.3333333333333333,,5000,3,100,500,0.029799204093008142,1.3315363340083581
sim2-no-fs-[]-[0],9,0.0,,0.3333333333333333,,5000,3,100,100,0.045456644772031374,0.38135459600908816
sim2-no-fs-[]-[0],10,0.0,,0.3333333333333333,,5000,3,100,500,0.041971312258928785,1.3615586681081873
sim2-no-fs-[]-[0],11,0.0,,0.3333333333333333,,5000,3,1000,100,0.0019412418979223623,0.19378666992578014
sim2-no-fs-[]-[0],12,0.0,,0.3333333333333333,,5000,3,500,500,0.0034680698672883994,1.3682828375686822
sim2-no-fs-[]-[0],13,0.0,,0.3333333333333333,,5000,3,1000,500,0.002958850318229392,1.4751008733960695
sim2-no-fs-[]-[0],14,0.0,,0.3333333333333333,,5000,3,1000,500,0.00458658821580045,1.3490864113732102
sim2-no-fs-[]-[0],15,0.0,,0.3333333333333333,,5000,3,2000,100,0.0007123456299043915,0.44930571443805595
sim2-no-fs-[]-[0],16,0.0,,0.3333333333333333,,5000,3,1000,200,0.001814538046373907,0.5678267477194712
sim2-no-fs-[]-[0],17,0.0,,0.3333333333333333,,5000,3,2000,500,0.00017292605224882758,1.4696793542624753
sim2-no-fs-[]-[0],18,0.0,,0.3333333333333333,,5000,3,1000,200,0.002348703674692498,0.37349512070080376
sim2-no-fs-[]-[0],19,0.0,,0.3333333333333333,,5000,3,1000,100,0.0012070487561727037,0.42783270579996624
sim2-no-fs-[]-[0],20,0.0,,0.3333333333333333,,5000,3,500,50,0.01883443310561459,0.3544186707448592
sim2-no-fs-[]-[0],21,0.0,,0.3333333333333333,,5000,3,1000,1000,0.0003148154289937818,2.772514105206837
sim2-no-fs-[]-[0],22,0.0,,0.3333333333333333,,5000,3,100,200,0.038229626303619625,0.3648006548263632
sim2-no-fs-[]-[0],23,0.0,,0.3333333333333333,,5000,3,200,50,0.01742220237045756,0.40954099120420673
sim2-no-fs-[]-[0],24,0.0,,0.3333333333333333,,5000,3,200,50,0.013116844196974464,0.4891721873882734
sim2-no-fs-[]-[0],25,0.0,,0.3333333333333333,,5000,3,500,200,0.011692499988694505,0.41737500771476654
sim2-no-fs-[]-[0],26,0.0,,0.3333333333333333,,5000,3,500,200,0.006488829459419178,0.5008461100740905
sim2-no-fs-[]-[0],27,0.0,,0.3333333333333333,,5000,3,500,100,0.006270129535944607,0.19690384582073683
sim2-no-fs-[]-[0],28,0.0,,0.3333333333333333,,5000,3,50,100,0.05244328710135743,0.26760295176110976
sim2-no-fs-[]-[0],29,0.0,,0.3333333333333333,,5000,3,1000,200,0.009529570043538358,0.5484304732991241
sim2-no-fs-[]-[0],30,0.0,,0.3333333333333333,,5000,3,1000,1000,0.003461133077153263,2.2877851916221665
sim2-no-fs-[]-[0],31,0.0,,0.3333333333333333,,5000,3,100,500,0.026506267540607673,1.4722725076834893
sim2-no-fs-[]-[0],32,0.0,,0.3333333333333333,,5000,3,50,200,0.08869262966236943,0.5455461822396335
sim2-no-fs-[]-[0],33,0.0,,0.3333333333333333,,5000,3,2000,100,0.007404898659223911,0.5821241595895448
sim2-no-fs-[]-[0],34,0.0,,0.3333333333333333,,5000,3,200,200,0.012491024472990964,0.4504382476917654
sim2-no-fs-[]-[0],35,0.0,,0.3333333333333333,,5000,3,1000,50,0.0006389728102400864,0.4805764794111554
sim2-no-fs-[]-[0],36,0.0,,0.3333333333333333,,5000,3,500,500,0.006512108231971872,1.466123199027114
sim2-no-fs-[]-[0],37,0.0,,0.3333333333333333,,5000,3,2000,100,0.01169675756228272,0.2520563843714147
sim2-no-fs-[]-[0],38,0.0,,0.3333333333333333,,5000,3,1000,500,0.0017975270811135642,1.4994196342734172
sim2-no-fs-[]-[0],39,0.0,,0.3333333333333333,,5000,3,50,200,0.05978656761754382,0.39183845569759035
sim2-no-fs-[]-[0],40,0.0,,0.3333333333333333,,5000,3,1000,500,0.0046316444560594505,1.5163563131996451
sim2-no-fs-[]-[0],41,0.0,,0.3333333333333333,,5000,3,1000,500,0.00022417455015674367,1.510221508660556
sim2-no-fs-[]-[0],42,0.0,,0.3333333333333333,,5000,3,1000,100,0.0222353798614193,0.31229648450584124
sim2-no-fs-[]-[0],43,0.0,,0.3333333333333333,,5000,3,1000,500,0.003779738997477131,1.431755630425525
sim2-no-fs-[]-[0],44,0.0,,0.3333333333333333,,5000,3,1000,100,0.0003132313368117648,0.3055154723334801
sim2-no-fs-[]-[0],45,0.0,,0.3333333333333333,,5000,3,500,100,0.0011929581404025614,0.35500008602796207
sim2-no-fs-[]-[0],46,0.0,,0.3333333333333333,,5000,3,500,200,0.021645069760529705,0.602598048324574
sim2-no-fs-[]-[0],47,0.0,,0.3333333333333333,,5000,3,200,200,0.01728737200068813,0.5348896552695689
sim2-no-fs-[]-[0],48,0.0,,0.3333333333333333,,5000,3,2000,50,0.006199017396054552,0.34831150256249443
sim2-no-fs-[]-[0],49,0.0,,0.3333333333333333,,5000,3,1000,200,0.0050400076330625165,0.5304843932439142
sim2-no-fs-[]-[0],50,0.0,,0.3333333333333333,,5000,3,2000,100,0.00043282747344363824,0.37566575337802977
sim2-no-fs-[]-[0],51,0.0,,0.3333333333333333,,5000,3,1000,100,0.0007927103846126339,0.5649114900334958
sim2-no-fs-[]-[0],52,0.0,,0.3333333333333333,,5000,3,200,100,0.015535299879492133,0.36846627597309406
sim2-no-fs-[]-[0],53,0.0,,0.3333333333333333,,5000,3,500,500,0.010299885143295787,1.4637944410447625
sim2-no-fs-[]-[0],54,0.0,,0.3333333333333333,,5000,3,1000,200,0.013937198008112068,0.5476257920138032
sim2-no-fs-[]-[0],55,0.0,,0.3333333333333333,,5000,3,1000,200,0.0023918323762863176,0.38041613560841514
sim2-no-fs-[]-[0],56,0.0,,0.3333333333333333,,5000,3,500,500,0.010524254622725392,1.4655191070178468
sim2-no-fs-[]-[0],57,0.0,,0.3333333333333333,,5000,3,100,500,0.031398362935121216,1.4071598930075961
sim2-no-fs-[]-[0],58,0.0,,0.3333333333333333,,5000,3,200,50,0.021511252172822553,0.2820192612996154
sim2-no-fs-[]-[0],59,0.0,,0.3333333333333333,,5000,3,1000,500,0.002768477772429025,1.3027922462231099
sim2-no-fs-[]-[0],60,0.0,,0.3333333333333333,,5000,3,1000,500,0.0012073169872111817,1.3522360356711975
sim2-no-fs-[]-[0],61,0.0,,0.3333333333333333,,5000,3,1000,100,0.00041044319569575195,0.26249472924567274
sim2-no-fs-[]-[0],62,0.0,,0.3333333333333333,,5000,3,1000,200,0.0035205367134038654,0.4518296255272049
sim2-no-fs-[]-[0],63,0.0,,0.3333333333333333,,5000,3,1000,500,0.002903835568316625,1.5301338881073017
sim2-no-fs-[]-[0],64,0.0,,0.3333333333333333,,5000,3,1000,200,0.010188695289933594,0.45817972252142497
sim2-no-fs-[]-[0],65,0.0,,0.3333333333333333,,5000,3,1000,500,0.0002655158693695552,1.362395026649673
sim2-no-fs-[]-[0],66,0.0,,0.3333333333333333,,5000,3,500,100,0.005720746637616669,0.48847921129448757
sim2-no-fs-[]-[0],67,0.0,,0.3333333333333333,,5000,3,1000,500,0.0004520205490475633,1.4680785644356815
sim2-no-fs-[]-[0],68,0.0,,0.3333333333333333,,5000,3,500,100,0.0020291646757158214,0.557870207836201
sim2-no-fs-[]-[0],69,0.0,,0.3333333333333333,,5000,3,100,200,0.032763476648457995,0.4316425841845001
sim2-no-fs-[]-[0],70,0.0,,0.3333333333333333,,5000,3,1000,200,0.00025793981280039426,0.40410549691819114
sim2-no-fs-[]-[0],71,0.0,,0.3333333333333333,,5000,3,500,100,0.004064268557922587,0.27337035948880867
sim2-no-fs-[]-[0],72,0.0,,0.3333333333333333,,5000,3,2000,1000,0.004659668950729054,3.0350756962361203
sim2-no-fs-[]-[0],73,0.0,,0.3333333333333333,,5000,3,1000,500,0.0006319771464733459,1.5063313247140202
sim2-no-fs-[]-[0],74,0.0,,0.3333333333333333,,5000,3,1000,500,0.00048789650123481156,1.5476370369629753
sim2-no-fs-[]-[0],75,0.0,,0.3333333333333333,,5000,3,1000,100,0.0005655924740949222,0.34069200888754547
sim2-no-fs-[]-[0],76,0.0,,0.3333333333333333,,5000,3,200,200,0.023775692528907856,0.5403583125874039
sim2-no-fs-[]-[0],77,0.0,,0.3333333333333333,,5000,3,2000,500,0.0015104792419442232,1.3884499363041047
sim2-no-fs-[]-[0],78,0.0,,0.3333333333333333,,5000,3,1000,100,0.0004099774937856147,0.2701276955915352
sim2-no-fs-[]-[0],79,0.0,,0.3333333333333333,,5000,3,1000,100,0.005648371506873214,0.2369009990706899
sim2-no-fs-[]-[0],80,0.0,,0.3333333333333333,,5000,3,500,500,0.0026350046442453054,1.365283664002807
sim2-no-fs-[]-[0],81,0.0,,0.3333333333333333,,5000,3,500,100,0.005622354327675612,0.3111977548433865
sim2-no-fs-[]-[0],82,0.0,,0.3333333333333333,,5000,3,2000,500,2.51347364976116e-10,1.4229951198498583
sim2-no-fs-[]-[0],83,0.0,,0.3333333333333333,,5000,3,1000,200,0.0003426186515166945,0.4347501528022558
sim2-no-fs-[]-[0],84,0.0,,0.3333333333333333,,5000,3,500,500,0.009497496358180315,1.300379618928635
sim2-no-fs-[]-[0],85,0.0,,0.3333333333333333,,5000,3,100,1000,0.038727694642306514,2.0939751563947184
sim2-no-fs-[]-[0],86,0.0,,0.3333333333333333,,5000,3,500,1000,0.008135385275091778,2.6304349391759305
sim2-no-fs-[]-[0],87,0.0,,0.3333333333333333,,5000,3,100,100,0.0395243924721519,0.35904607190799814
sim2-no-fs-[]-[0],88,0.0,,0.3333333333333333,,5000,3,1000,200,0.006142618535596153,0.764727015572247
sim2-no-fs-[]-[0],89,0.0,,0.3333333333333333,,5000,3,2000,500,5.0637224917433585e-05,1.38296418256264
sim2-no-fs-[]-[0],90,0.0,,0.3333333333333333,,5000,3,1000,500,0.000741604994867112,1.409228507142013
sim2-no-fs-[]-[0],91,0.0,,0.3333333333333333,,5000,3,1000,500,0.003298572502336713,1.5038501992531053
sim2-no-fs-[]-[0],92,0.0,,0.3333333333333333,,5000,3,1000,500,0.0006554213910268968,1.4381530429854357
sim2-no-fs-[]-[0],93,0.0,,0.3333333333333333,,5000,3,1000,1000,0.0018591788759772037,16.11505373155292
sim2-no-fs-[]-[0],94,0.0,,0.3333333333333333,,5000,3,200,500,0.025712886995006484,1.3847455600237508
sim2-no-fs-[]-[0],95,0.0,,0.3333333333333333,,5000,3,200,50,0.0117639460267547,0.4663537163234185
sim2-no-fs-[]-[0],96,0.0,,0.3333333333333333,,5000,3,1000,500,0.004960377597265398,1.482774013645482
sim2-no-fs-[]-[0],97,0.0,,0.3333333333333333,,5000,3,1000,500,0.0013254069208415962,1.3611744062252527
sim2-no-fs-[]-[0],98,0.0,,0.3333333333333333,,5000,3,1000,500,0.0006590749801948314,1.4100874757703525
sim2-no-fs-[]-[0],99,0.0,,0.3333333333333333,,5000,3,1000,500,0.00028448824175804913,1.3955473131240865
sim2-no-fs-[]-[0],100,0.0,,0.3333333333333333,,5000,3,1000,500,0.0020675883942577575,1.3965909132594245
sim2-no-fs-[]-[0],101,0.0,,0.3333333333333333,,5000,3,500,100,0.006471696770832473,0.4652851782193507
sim2-no-fs-[]-[0],102,0.0,,0.3333333333333333,,5000,3,500,500,0.004672679194037154,1.4212625134673402
sim2-no-fs-[]-[0],103,0.0,,0.3333333333333333,,5000,3,1000,200,0.003767813630095015,0.48163758924054617
sim2-no-fs-[]-[0],104,0.0,,0.3333333333333333,,5000,3,1000,100,0.0017772491166519909,0.3600221701268375
sim2-no-fs-[]-[0],105,0.0,,0.3333333333333333,,5000,3,1000,1000,0.0006105463426669354,2.4383680993824113
sim2-no-fs-[]-[0],106,0.0,,0.3333333333333333,,5000,3,500,500,0.007964569821472893,1.4862502706824396
sim2-no-fs-[]-[0],107,0.0,,0.3333333333333333,,5000,3,1000,200,0.00243147081531201,0.5333767040365891
sim2-no-fs-[]-[0],108,0.0,,0.3333333333333333,,5000,3,500,500,0.0033799228273139674,1.3531877492383633
sim2-no-fs-[]-[0],109,0.0,,0.3333333333333333,,5000,3,1000,500,0.004415896952206713,1.3801762307804892
sim2-no-fs-[]-[0],110,0.0,,0.3333333333333333,,5000,3,1000,500,0.006705353201357405,1.38884820455638
sim2-no-fs-[]-[0],111,0.0,,0.3333333333333333,,5000,3,1000,500,0.0030016421691820357,1.5261615951492862
sim2-no-fs-[]-[0],112,0.0,,0.3333333333333333,,5000,3,200,500,0.029145817701154493,1.4754025016663237
sim2-no-fs-[]-[0],113,0.0,,0.3333333333333333,,5000,3,1000,500,0.005482967856193655,1.4944694830088963
sim2-no-fs-[]-[0],114,0.0,,0.3333333333333333,,5000,3,1000,1000,0.004092540189029621,2.84072793188807
sim2-no-fs-[]-[0],115,0.0,,0.3333333333333333,,5000,3,1000,100,0.0002490365625922072,0.4321108658371528
sim2-no-fs-[]-[0],116,0.0,,0.3333333333333333,,5000,3,2000,50,0.00019856061598543618,0.20376683487873398
sim2-no-fs-[]-[0],117,0.0,,0.3333333333333333,,5000,3,1000,500,0.0010928351553716248,1.3461734808875003
sim2-no-fs-[]-[0],118,0.0,,0.3333333333333333,,5000,3,1000,200,0.003793913641902853,0.48466121286640435
sim2-no-fs-[]-[0],119,0.0,,0.3333333333333333,,5000,3,1000,100,0.0015952966080355641,0.36973616449201047
sim2-no-fs-[]-[0],120,0.0,,0.3333333333333333,,5000,3,1000,200,0.0002745533657388608,0.32136203476363384
sim2-no-fs-[]-[0],121,0.0,,0.3333333333333333,,5000,3,500,500,0.005037583376657264,1.2994719894087645
sim2-no-fs-[]-[0],122,0.0,,0.3333333333333333,,5000,3,1000,50,0.00048089511964649015,0.30105905571482583
sim2-no-fs-[]-[0],123,0.0,,0.3333333333333333,,5000,3,1000,500,0.00041813383567369924,1.385444677239901
sim2-no-fs-[]-[0],124,0.0,,0.3333333333333333,,5000,3,1000,500,0.0005274524743579437,1.3483020017876572
sim2-no-fs-[]-[0],125,0.0,,0.3333333333333333,,5000,3,50,200,0.07483082981919993,0.4357699955359505
sim2-no-fs-[]-[0],126,0.0,,0.3333333333333333,,5000,3,200,100,0.013075812144833429,0.5351758957763187
sim2-no-fs-[]-[0],127,0.0,,0.3333333333333333,,5000,3,1000,500,0.002300587843896253,1.3163242384348564
sim2-no-fs-[]-[0],128,0.0,,0.3333333333333333,,5000,3,500,500,0.004958824855486351,1.3689756373625894
sim2-no-fs-[]-[0],129,0.0,,0.3333333333333333,,5000,3,1000,200,0.00028422661697449244,0.501763207398789
sim2-no-fs-[]-[0],130,0.0,,0.3333333333333333,,5000,3,1000,500,0.00020730285667864065,1.5578984936105036
sim2-no-fs-[]-[0],131,0.0,,0.3333333333333333,,5000,3,500,500,0.011736155246988818,1.4537330900067011
sim2-no-fs-[]-[0],132,0.0,,0.3333333333333333,,5000,3,1000,500,0.0018116162700851624,1.5228395572737174
sim2-no-fs-[]-[0],133,0.0,,0.3333333333333333,,5000,3,1000,100,0.003110029277762839,0.45895558670348235
sim2-no-fs-[]-[0],134,0.0,,0.3333333333333333,,5000,3,1000,100,0.0006296992819236231,0.2425643425400396
sim2-no-fs-[]-[0],135,0.0,,0.3333333333333333,,5000,3,1000,200,0.001006568634245743,0.3923737642145008
sim2-no-fs-[]-[0],136,0.0,,0.3333333333333333,,5000,3,500,200,0.008133311563916994,0.634400604782783
sim2-no-fs-[]-[0],137,0.0,,0.3333333333333333,,5000,3,1000,500,0.002907847260137517,1.3190200855474423
sim2-no-fs-[]-[0],138,0.0,,0.3333333333333333,,5000,3,1000,500,0.0014135266580866783,1.5401975196199988
sim2-no-fs-[]-[0],139,0.0,,0.3333333333333333,,5000,3,1000,100,0.0003579486348453831,0.20034196217905328
sim2-no-fs-[]-[0],140,0.0,,0.3333333333333333,,5000,3,1000,50,0.0007698610390026794,0.5042183171214181
sim2-no-fs-[]-[0],141,0.0,,0.3333333333333333,,5000,3,50,50,0.06799767949501896,0.39032391303499253
sim2-no-fs-[]-[0],142,0.0,,0.3333333333333333,,5000,3,1000,200,0.0010520171276357793,0.556184142946013
sim2-no-fs-[]-[0],143,0.0,,0.3333333333333333,,5000,3,200,200,0.01525279964200702,0.5165471689479517
sim2-no-fs-[]-[0],144,0.0,,0.3333333333333333,,5000,3,1000,50,0.00034137496470464546,0.39229951793266055
sim2-no-fs-[]-[0],145,0.0,,0.3333333333333333,,5000,3,1000,500,0.004792586609002677,1.5940375616460876
sim2-no-fs-[]-[0],146,0.0,,0.3333333333333333,,5000,3,500,500,0.004774206272970055,1.5379979947243296
sim2-no-fs-[]-[0],147,0.0,,0.3333333333333333,,5000,3,200,500,0.012169305847583316,1.309499102316227
sim2-no-fs-[]-[0],148,0.0,,0.3333333333333333,,5000,3,1000,500,0.0003797866981056349,1.3534523500321096
sim2-no-fs-[]-[0],149,0.0,,0.3333333333333333,,5000,3,1000,200,0.0011056411030857635,0.625304930264317
sim2-no-fs-[]-[0],150,0.0,,0.3333333333333333,,5000,3,500,500,0.004438183307944116,1.4477379994269757
